user,word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
User,surprise,1k_most_used,,,"The rangy , Albany ( Cal. ) native , a surprise slugging sensation for the Flock last year as well as a defensive whiz , set `` improved fielding '' as his 1961 goal .","The rangy , albany ( cal. ) native , a ******** slugging sensation for the flock last year as well as a defensive whiz , set `` improved fielding '' as his 1961 goal .",What a pleasant surprise!,What a pleasant ********!
User,swim,1k_most_used,,,"Bill Veeck's health is back to the dynamo stage , but his medics insist he rest for several more months before getting back into the baseball swim .","Bill veeck's health is back to the dynamo stage , but his medics insist he rest for several more months before getting back into the baseball **** .",Fish swim in water.,Fish **** in water.
User,syllable,1k_most_used,,,"Dominant stress is of course more than extended duration , and normally centers on syllables that would have primary stress or phrase stress if the words or longer units they are parts of were spoken alone : a dominant stress given to glorify would normally center on its first syllable rather than its last .","Dominant stress is of course more than extended duration , and normally centers on ********s that would have primary stress or phrase stress if the words or longer units they are parts of were spoken alone : a dominant stress given to glorify would normally center on its first ******** rather than its last .","""Cat"" has one syllable.","""cat"" has one ********."
User,symbol,1k_most_used,,,"His reference to ' discredited carcass ' or ' tattered remains ' of the president's leadership is an insult to the man who led our forces to victory in the greatest war in all history , to the man who was twice elected overwhelmingly by the American people as president of the United States , and who has been the symbol to the world of the peace-loving intentions of the free nations .","His reference to ' discredited carcass ' or ' tattered remains ' of the president's leadership is an insult to the man who led our forces to victory in the greatest war in all history , to the man who was twice elected overwhelmingly by the american people as president of the united states , and who has been the ****** to the world of the peace-loving intentions of the free nations .",A heart is a symbol of love.,A heart is a ****** of love.
User,system,1k_most_used,,,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,The republicans must hold a primary under the county unit ****** -- a ****** which the party opposes in its platform .,Our body has a digestive system.,Our body has a digestive ******.
User,table,1k_most_used,,,There is little optimism here that the Communists will be any more docile at the conference table than they were in military actions on the ground in Laos .,There is little optimism here that the communists will be any more docile at the conference ***** than they were in military actions on the ground in laos .,Dinner is served on the table.,Dinner is served on the *****.
User,tail,1k_most_used,,,"Using a steering system that controlled the modified rocket's tail surfaces and wings equipped with ailerons , Fiedler was to land the missile on a skid especially bolted under the fuselage .","Using a steering system that controlled the modified rocket's **** surfaces and wings equipped with ailerons , fiedler was to land the missile on a skid especially bolted under the fuselage .",Dogs wag their tail when happy.,Dogs wag their **** when happy.
User,take,1k_most_used,,,It urged that the city `` take steps to remedy '' this problem .,It urged that the city `` **** steps to remedy '' this problem .,Take your backpack to school.,**** your backpack to school.
User,talk,1k_most_used,,,We'll not talk out of one side of our mouth in Morris County and out of the other side in Hudson .,We'll not **** out of one side of our mouth in morris county and out of the other side in hudson .,Let's talk about your day.,Let's **** about your day.
User,tall,1k_most_used,,,"Center panel , hand-screened wood , actually is a back of one of the tall bookcases .","Center panel , hand-screened wood , actually is a back of one of the **** bookcases .",Giraffes are tall animals.,Giraffes are **** animals.
User,teach,1k_most_used,,,"`` A person with a master's degree in physics , chemistry , math or English , yet who has not taken Education courses , is not permitted to teach in the public schools '' , said Grover .","`` a person with a master's degree in physics , chemistry , math or english , yet who has not taken education courses , is not permitted to ***** in the public schools '' , said grover .",Teachers teach us many things.,*****ers ***** us many things.
User,team,1k_most_used,,,"During his college career , Dr. Clark was captain of his basketball team and was a football letterman .","During his college career , dr. clark was captain of his basketball **** and was a football letterman .",We are a great team.,We are a great ****.
User,teeth,1k_most_used,,,Player was the first to feel its teeth .,Player was the first to feel its ***** .,Brush your teeth before bed.,Brush your ***** before bed.
User,tell,1k_most_used,,,"While details are still to be worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected .","While details are still to be worked out , ratcliff said he expects to **** home folks in dallas why he thinks berry's proposed constitutional amendment should be rejected .",Can you tell a story?,Can you **** a story?
User,temperature,1k_most_used,,,"The appestat , which adjusts the appetite to keep weight constant , is located , says Jolliffe , in the hypothalamus -- near the body's temperature , sleep and water-balance controls .","The appestat , which adjusts the appetite to keep weight constant , is located , says jolliffe , in the hypothalamus -- near the body's *********** , sleep and water-balance controls .",Check the temperature outside.,Check the *********** outside.
User,ten,1k_most_used,,,"Prior to the featured race , the stewards announced that apprentice James P. Verrone is suspended ten days for crowding horses and crossing the field sharply in two races on Wednesday .","Prior to the featured race , the stewards announced that apprentice james p. verrone is suspended *** days for crowding horses and crossing the field sharply in two races on wednesday .",I have ten fingers.,I have *** fingers.
User,term,1k_most_used,,,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-october **** jury had been charged by fulton superior court judge durwood pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by mayor-nominate ivan allen jr. .,"""Summer"" is a term.","""summer"" is a ****."
User,test,1k_most_used,,,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly **** suit to **** the validity of the act , and then the sales will begin and contracts let for repair work on some of georgia's most heavily traveled highways .",We have a spelling test tomorrow.,We have a spelling **** tomorrow.
User,thank,1k_most_used,,,"As Hartweger accepted his silver bowl , he said , `` I want to thank coach's wife for talking him into letting me play '' .","As hartweger accepted his silver bowl , he said , `` i want to ***** coach's wife for talking him into letting me play '' .",Thank you for helping me.,***** you for helping me.
User,thick,1k_most_used,,,"The result is rather wonderful , but so rich as to be indigestible if taken in too thick slices .","The result is rather wonderful , but so rich as to be indigestible if taken in too ***** slices .",The book is thick.,The book is *****.
User,thin,1k_most_used,,,"The opinion continues here that with a 162-game schedule , pitching spread thin through a 10-team league and a most inviting target in Los Angeles' Wrigley Field Jr. , Mantle just might break the most glamorous record on the books , Babe Ruth's 60 homers of 1927 .","The opinion continues here that with a 162-game schedule , pitching spread **** through a 10-team league and a most inviting target in los angeles' wrigley field jr. , mantle just might break the most glamorous record on the books , babe ruth's 60 homers of 1927 .",Paper is thin.,Paper is ****.
User,thing,1k_most_used,,,"House Speaker Sam Rayburn ( D. , Tex. ) called the Kennedy program `` a mighty fine thing '' , but made no prediction on its fate in the House .","House speaker sam rayburn ( d. , tex. ) called the kennedy program `` a mighty fine ***** '' , but made no prediction on its fate in the house .",What is that thing?,What is that *****?
User,think,1k_most_used,,,"`` After inspiring this , I think we should certainly follow through on it '' , he declared .","`` after inspiring this , i ***** we should certainly follow through on it '' , he declared .",I think you're right.,I ***** you're right.
User,third,1k_most_used,,,"The third amended the enabling act for creation of the Lamar county Hospital District , for which a special constitutional amendment previously was adopted .","The ***** amended the enabling act for creation of the lamar county hospital district , for which a special constitutional amendment previously was adopted .",I won the third place.,I won the ***** place.
User,those,1k_most_used,,,Similar payroll tax boosts would be imposed on those under the railroad retirement system .,Similar payroll tax boosts would be imposed on ***** under the railroad retirement system .,Those are red apples.,***** are red apples.
User,though,1k_most_used,,,"They would like to convey the notion something is being done , even though it is something they know to be ineffectual .","They would like to convey the notion something is being done , even ****** it is something they know to be ineffectual .","It's small, though powerful.","It's small, ****** powerful."
User,thought,1k_most_used,,,"The board members , after hearing the coordination plea from Mrs. Ralph H. Molvar , 1409 SW Maplecrest Dr. , said they thought they had already been cooperating .","The board members , after hearing the coordination plea from mrs. ralph h. molvar , 1409 sw maplecrest dr. , said they ******* they had already been cooperating .",I thought about you.,I ******* about you.
User,thousand,1k_most_used,,,In the early spring of 1913 a few hundred thousand persons turned out to watch 5000 women parade .,In the early spring of 1913 a few hundred ******** persons turned out to watch 5000 women parade .,I counted to one thousand.,I counted to one ********.
User,three,1k_most_used,,,"He will be succeeded by Rob Ledford of Gainesville , who has been an assistant more than three years .","He will be succeeded by rob ledford of gainesville , who has been an assistant more than ***** years .",I have three candies.,I have ***** candies.
User,through,1k_most_used,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds ******* the welfare departments of all the counties in the state with the exception of fulton county , which receives none of this money .",We walked through the park.,We walked ******* the park.
User,throw,1k_most_used,,,"There are many who predict that should Barnett decide to call the Legislature back into special session , it will really throw his administration into a scramble .","There are many who predict that should barnett decide to call the legislature back into special session , it will really ***** his administration into a scramble .",Please throw the ball.,Please ***** the ball.
User,thus,1k_most_used,,,But thus far there has been no response in kind .,But **** far there has been no response in kind .,"Thus, we finished early.","****, we finished early."
User,tie,1k_most_used,,,The victory was the first of the season for the Billikens after nine defeats and a tie .,The victory was the first of the season for the billikens after nine defeats and a *** .,I can tie my shoes.,I can *** my shoes.
User,tiny,1k_most_used,,,"Giving up the violin opened a whole new career for Ilona Schmidl-Seeberg , a tiny Hungarian who Fritz Kreisler had predicted would have a promising career on the concert stage .","Giving up the violin opened a whole new career for ilona schmidl-seeberg , a **** hungarian who fritz kreisler had predicted would have a promising career on the concert stage .",A bug is tiny.,A bug is ****.
User,tire,1k_most_used,,,"There are four versions of the formula that involves the relationships of car speed , engine speed , rear axle gear ratio , and rear tire size .","There are four versions of the formula that involves the relationships of car speed , engine speed , rear axle gear ratio , and rear **** size .",The car has a flat tire.,The car has a flat ****.
User,together,1k_most_used,,,The petition said that the couple has not lived together as man and wife for more than a year .,The petition said that the couple has not lived ******** as man and wife for more than a year .,We play together.,We play ********.
User,told,1k_most_used,,,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds .","The highway department source **** the constitution , however , that vandiver has not been consulted yet about the plans to issue the new rural roads bonds .",My friend told me a secret.,My friend **** me a secret.
User,tone,1k_most_used,,,"For while the past needs of the Church in this country may have been adequately met by collegiate institutions , which in temper and tone closely resembled junior colleges and finishing schools , it would seem that today's need is for the college which more closely resembles the university in its `` pursuit of excellence '' .","For while the past needs of the church in this country may have been adequately met by collegiate institutions , which in temper and **** closely resembled junior colleges and finishing schools , it would seem that today's need is for the college which more closely resembles the university in its `` pursuit of excellence '' .",She sings in a high tone.,She sings in a high ****.
User,too,1k_most_used,,,"Ordinary Williams said he , too , was subjected to anonymous calls soon after he scheduled the election .","Ordinary williams said he , *** , was subjected to anonymous calls soon after he scheduled the election .",It's too hot outside.,It's *** hot outside.
User,took,1k_most_used,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' that any irregularities **** place .,She took the last cookie.,She **** the last cookie.
User,tool,1k_most_used,,,"In other words , the anti-trust laws , designed to reduce prices to the consumer on Monday , Wednesday and Friday , become a tool to protect the marginal manufacturer on Tuesday , Thursday and Saturday .","In other words , the anti-trust laws , designed to reduce prices to the consumer on monday , wednesday and friday , become a **** to protect the marginal manufacturer on tuesday , thursday and saturday .",A hammer is a tool.,A hammer is a ****.
User,top,1k_most_used,,,"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a top official said Wednesday .","Georgia republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a *** official said wednesday .",The cat is on the top shelf.,The cat is on the *** shelf.
User,total,1k_most_used,,,Martin said the government has been working to establish firmer prices on primary products which may involve the total income of one country .,Martin said the government has been working to establish firmer prices on primary products which may involve the ***** income of one country .,The total is five dollars.,The ***** is five dollars.
User,touch,1k_most_used,,,"As usual , he made no attempt to get in touch with Carmine G. De Sapio , the Manhattan leader .","As usual , he made no attempt to get in ***** with carmine g. de sapio , the manhattan leader .",Don't touch the wet paint.,Don't ***** the wet paint.
User,toward,1k_most_used,,,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .,Gov. vandiver is expected to make the traditional visit to both chambers as they work ****** adjournment .,Walk toward the school.,Walk ****** the school.
User,town,1k_most_used,,,"A petition bearing the signatures of more than 1,700 Johnston taxpayers was presented to the town council last night as what is hoped will be the first step in obtaining a home rule charter for the town .","A petition bearing the signatures of more than 1,700 johnston taxpayers was presented to the **** council last night as what is hoped will be the first step in obtaining a home rule charter for the **** .",We live in a small town.,We live in a small ****.
User,track,1k_most_used,,,Canada alone has been somewhat out of step with the Oslo attempt to get all the allied cars back on the track behind the NATO locomotive .,Canada alone has been somewhat out of step with the oslo attempt to get all the allied cars back on the ***** behind the nato locomotive .,We ran on the track.,We ran on the *****.
User,trade,1k_most_used,,,It recommends that the United States `` seek instead to detach the Castro regime from the Communist bloc by working for a diplomatic detente and a resumption of trade relations ; ;,It recommends that the united states `` seek instead to detach the castro regime from the communist bloc by working for a diplomatic detente and a resumption of ***** relations ; ;,Let's trade stickers.,Let's ***** stickers.
User,train,1k_most_used,,,"He took a midnight train out of Cleveland Saturday , without an official word to anybody , and has stayed away from newsmen on his train trip across the nation to Reno , Nev. , where his wife , former Olympic Diving Champion Zoe Ann Olsen , awaited .","He took a midnight ***** out of cleveland saturday , without an official word to anybody , and has stayed away from newsmen on his ***** trip across the nation to reno , nev. , where his wife , former olympic diving champion zoe ann olsen , awaited .",We traveled by train.,We traveled by *****.
User,travel,1k_most_used,,,"The travel club is comprised of 75 fun-loving couples who have as their motto `` Go Somewhere , Anywhere , Everywhere '' .","The ****** club is comprised of 75 fun-loving couples who have as their motto `` go somewhere , anywhere , everywhere '' .",We will travel to the beach.,We will ****** to the beach.
User,tree,1k_most_used,,,"`` In the same five year period that the United States says they ( the detectives ) were engaged in this conspiracy '' , Sokol continued , `` these three young men received a total of 26 creditable mentions and many special compensations , and were nominated for the Lambert Tree award and the mayor's medal '' .","`` in the same five year period that the united states says they ( the detectives ) were engaged in this conspiracy '' , sokol continued , `` these three young men received a total of 26 creditable mentions and many special compensations , and were nominated for the lambert **** award and the mayor's medal '' .",There is a bird in the tree.,There is a bird in the ****.
User,triangle,1k_most_used,,,"Boniface had to uphold the sacredness of the feudal contract at all costs , for it was only as suzerain of Sicily and of the Patrimony of Peter that he had any justification for his Italian wars , but in the English-Scottish-French triangle it was almost impossible for him to recognize the claims of any one of the contestants without seeming to invalidate those of the other two .","Boniface had to uphold the sacredness of the feudal contract at all costs , for it was only as suzerain of sicily and of the patrimony of peter that he had any justification for his italian wars , but in the english-scottish-french ******** it was almost impossible for him to recognize the claims of any one of the contestants without seeming to invalidate those of the other two .",A pyramid is a triangle shape.,A pyramid is a ******** shape.
User,trip,1k_most_used,,,"He took a midnight train out of Cleveland Saturday , without an official word to anybody , and has stayed away from newsmen on his train trip across the nation to Reno , Nev. , where his wife , former Olympic Diving Champion Zoe Ann Olsen , awaited .","He took a midnight train out of cleveland saturday , without an official word to anybody , and has stayed away from newsmen on his train **** across the nation to reno , nev. , where his wife , former olympic diving champion zoe ann olsen , awaited .",Our school trip was fun.,Our school **** was fun.
User,trouble,1k_most_used,,,"I didn't smell a drop of liquor , and we didn't have a bit of trouble '' .","I didn't smell a drop of liquor , and we didn't have a bit of ******* '' .",He got in trouble for being late.,He got in ******* for being late.
User,truck,1k_most_used,,,"Noting that Plainfield last year had lost the Mack Truck Co. plant , he said industry will not come into this state until there is tax reform .","Noting that plainfield last year had lost the mack ***** co. plant , he said industry will not come into this state until there is tax reform .",A big truck passed by.,A big ***** passed by.
User,try,1k_most_used,,,`` Such a vicious statement can only have its origin in the desire of a new political candidate to try to make his name known by condemning a man of world stature .,`` such a vicious statement can only have its origin in the desire of a new political candidate to *** to make his name known by condemning a man of world stature .,Try to reach the top.,*** to reach the top.
User,tube,1k_most_used,,,"Make sure that the metal tube through which the wire passes is in the shape of an inverted `` L '' , the foot of the `` L '' about three inches long , so that the puppet can hang directly under the light .","Make sure that the metal **** through which the wire passes is in the shape of an inverted `` l '' , the foot of the `` l '' about three inches long , so that the puppet can hang directly under the light .",We floated down the river in a tube.,We floated down the river in a ****.
User,turn,1k_most_used,,,"Then Kerr , a graduate student from Illinois , moved past him on a straightaway and held off Mills's challenge on the final turn .","Then kerr , a graduate student from illinois , moved past him on a straightaway and held off mills's challenge on the final **** .",It's your turn to play.,It's your **** to play.
User,twenty,1k_most_used,,,"Indonesia is one of the twenty under-developed countries of Asia , Africa and Latin America that are receiving Soviet aid .","Indonesia is one of the ****** under-developed countries of asia , africa and latin america that are receiving soviet aid .",I am twenty years old.,I am ****** years old.
User,type,1k_most_used,,,Mr. Reama told the Rotary Club of Providence at its luncheon at the Sheraton-Biltmore Hotel that about half of the people in the country want the `` welfare '' type of government and the other half want a free enterprise system .,Mr. reama told the rotary club of providence at its luncheon at the sheraton-biltmore hotel that about half of the people in the country want the `` welfare '' **** of government and the other half want a free enterprise system .,I can type my name.,I can **** my name.
User,under,1k_most_used,,,"The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation .","The jury also commented on the fulton ordinary's court which has been ***** fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation .",The cat is under the table.,The cat is ***** the table.
User,unit,1k_most_used,,,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,The republicans must hold a primary under the county **** system -- a system which the party opposes in its platform .,We learned about the unit of length.,We learned about the **** of length.
User,until,1k_most_used,,,"Until the Cuban fiasco and the Communist military victories in Laos , almost any observer would have said that President Kennedy had blended a program that respected , generally , the opinions voiced both by Mr. Nixon and the professors .","***** the cuban fiasco and the communist military victories in laos , almost any observer would have said that president kennedy had blended a program that respected , generally , the opinions voiced both by mr. nixon and the professors .",Wait here until I return.,Wait here ***** i return.
User,usual,1k_most_used,,,"As usual , he made no attempt to get in touch with Carmine G. De Sapio , the Manhattan leader .","As ***** , he made no attempt to get in touch with carmine g. de sapio , the manhattan leader .",He arrived at his usual time.,He arrived at his ***** time.
User,valley,1k_most_used,,,"Mrs. Monte Tyson , chairman , says the work of 100 artists well known in the Delaware Valley area will be included in the exhibition and sale .","Mrs. monte tyson , chairman , says the work of 100 artists well known in the delaware ****** area will be included in the exhibition and sale .",We hiked in the valley.,We hiked in the ******.
User,value,1k_most_used,,,"-- James P. Mitchell and Sen. Walter H. Jones R-Bergen , last night disagreed on the value of using as a campaign issue a remark by Richard J. Hughes , Democratic gubernatorial candidate , that the GOP is `` Campaigning on the carcass of Eisenhower Republicanism '' .","-- james p. mitchell and sen. walter h. jones r-bergen , last night disagreed on the ***** of using as a campaign issue a remark by richard j. hughes , democratic gubernatorial candidate , that the gop is `` campaigning on the carcass of eisenhower republicanism '' .",Friendship has great value.,Friendship has great *****.
User,vary,1k_most_used,,,"Although economic and personal circumstances vary widely among those now choosing apartments , Leo J. Pantas , vice president of a hardware manufacturing company , pointed out recently that many apartment seekers seem to have one characteristic in common : a desire for greater convenience and freedom from the problems involved in maintaining a house .","Although economic and personal circumstances **** widely among those now choosing apartments , leo j. pantas , vice president of a hardware manufacturing company , pointed out recently that many apartment seekers seem to have one characteristic in common : a desire for greater convenience and freedom from the problems involved in maintaining a house .",The weather can vary each day.,The weather can **** each day.
User,verb,1k_most_used,,,Or the exception may be due to a particular durability peculiar to the Athabascan verb .,Or the exception may be due to a particular durability peculiar to the athabascan **** .,"""Run"" is a verb.","""run"" is a ****."
User,view,1k_most_used,,,Their view is that last-minute changes the Mayor is proposing to make in the Democratic ticket only emphasize the weakness of his performance as Mayor .,Their **** is that last-minute changes the mayor is proposing to make in the democratic ticket only emphasize the weakness of his performance as mayor .,We enjoyed the view from the hill.,We enjoyed the **** from the hill.
User,village,1k_most_used,,,"Motorists like myself who can remember the old `` tourists accommodated '' signs on farm houses and village homes before World War 2 , can only marvel at the great size and the luxury of the relatively new and fast-grossing motel business .","Motorists like myself who can remember the old `` tourists accommodated '' signs on farm houses and ******* homes before world war 2 , can only marvel at the great size and the luxury of the relatively new and fast-grossing motel business .",My grandmother lives in a small village.,My grandmother lives in a small *******.
User,visit,1k_most_used,,,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .,Gov. vandiver is expected to make the traditional ***** to both chambers as they work toward adjournment .,We will visit the zoo.,We will ***** the zoo.
User,voice,1k_most_used,,,I think everybody is agreed that we need to hear some voice on the national level that would make some sense and in which we would have some confidence in following .,I think everybody is agreed that we need to hear some ***** on the national level that would make some sense and in which we would have some confidence in following .,She raised her voice.,She raised her *****.
User,vowel,1k_most_used,,,"But there is every reason to regard deal as a monosyllable , and because of the fact that /l/ commonly has the quality of AAb/ when it follows vowel sounds , deal seems to be a perfectly satisfactory rhyme with deal .","But there is every reason to regard deal as a monosyllable , and because of the fact that /l/ commonly has the quality of aab/ when it follows ***** sounds , deal seems to be a perfectly satisfactory rhyme with deal .","A, E, I, O, U are vowels.","A, e, i, o, u are *****s."
User,wait,1k_most_used,,,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .","When the crowd was asked whether it wanted to **** one more term to make the race , it voted no -- and there were no dissents .",Please wait for me.,Please **** for me.
User,walk,1k_most_used,,,"In the case of Portugal , which a few weeks ago was rumored ready to walk out of the NATO Council should critics of its Angola policy prove harsh , there has been a noticeable relaxation of tension .","In the case of portugal , which a few weeks ago was rumored ready to **** out of the nato council should critics of its angola policy prove harsh , there has been a noticeable relaxation of tension .",We walk to school.,We **** to school.
User,wall,1k_most_used,,,The younger boy said the blast knocked him out of bed and against the wall .,The younger boy said the blast knocked him out of bed and against the **** .,The wall is painted blue.,The **** is painted blue.
User,want,1k_most_used,,,But the Communists never gave sufficient provocation at any one time for the United States to want to risk a limited or an all-out war over Laos .,But the communists never gave sufficient provocation at any one time for the united states to **** to risk a limited or an all-out war over laos .,I want a cookie.,I **** a cookie.
User,war,1k_most_used,,,But the Communists never gave sufficient provocation at any one time for the United States to want to risk a limited or an all-out war over Laos .,But the communists never gave sufficient provocation at any one time for the united states to want to risk a limited or an all-out *** over laos .,Many books are about war.,Many books are about ***.
User,warm,1k_most_used,,,"Heating is by individual gas-fired , forced warm air systems .","Heating is by individual gas-fired , forced **** air systems .",The sun is warm.,The sun is ****.
User,wash,1k_most_used,,,Steak House has such a run on beer to wash down that Mexican food `` Tex '' Burgess had to call the draft man twice in one day .,Steak house has such a run on beer to **** down that mexican food `` tex '' burgess had to call the draft man twice in one day .,Wash your hands.,**** your hands.
User,watch,1k_most_used,,,In the early spring of 1913 a few hundred thousand persons turned out to watch 5000 women parade .,In the early spring of 1913 a few hundred thousand persons turned out to ***** 5000 women parade .,We watch TV together.,We ***** tv together.
User,wave,1k_most_used,,,-- A wave of public resentment against corruption in government is rising in Massachusetts .,-- a **** of public resentment against corruption in government is rising in massachusetts .,The flag wave in the wind.,The flag **** in the wind.
User,wear,1k_most_used,,,"Nobody's mentioned it , but when ol' Casey Stengel takes over as boss of the New York Mets , he'll be the only baseballight ever to wear the uniform of all New York area clubs , past and present : Yankees , Dodgers , Giants , and now the Mets .","Nobody's mentioned it , but when ol' casey stengel takes over as boss of the new york mets , he'll be the only baseballight ever to **** the uniform of all new york area clubs , past and present : yankees , dodgers , giants , and now the mets .",I wear a hat.,I **** a hat.
User,weather,1k_most_used,,,"Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as President John F. Kennedy and retiring President Dwight D. Eisenhower leave Capitol Hill following the oath-taking ceremonies and ride down this historic ceremonial route .","Assuming the ******* is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as president john f. kennedy and retiring president dwight d. eisenhower leave capitol hill following the oath-taking ceremonies and ride down this historic ceremonial route .",The weather is sunny.,The ******* is sunny.
User,week,1k_most_used,,,"Under committee rules , it went automatically to a subcommittee for one week .","Under committee rules , it went automatically to a subcommittee for one **** .",School is five days a week.,School is five days a ****.
User,weight,1k_most_used,,,"The 6-foot 3-inch Hansen checked in close to 200 pounds , 15 pounds lighter than his reporting weight last spring .","The 6-foot 3-inch hansen checked in close to 200 pounds , 15 pounds lighter than his reporting ****** last spring .",We measured its weight.,We measured its ******.
User,well,1k_most_used,,,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of other topics , among them the atlanta and fulton county purchasing departments which it said `` are **** operated and follow generally accepted practices which inure to the best interest of both governments '' .",I hope you feel well.,I hope you feel ****.
User,went,1k_most_used,,,"`` Everything went real smooth '' , the sheriff said .","`` everything **** real smooth '' , the sheriff said .",We went to the zoo.,We **** to the zoo.
User,west,1k_most_used,,,The West Texan reported that he had finally gotten Chairman Bill Hollowell of the committee to set it for public hearing on Feb. 22 .,The **** texan reported that he had finally gotten chairman bill hollowell of the committee to set it for public hearing on feb. 22 .,The sun sets in the west.,The sun sets in the ****.
User,wheel,1k_most_used,,,The left front wheel landed 100 feet away .,The left front ***** landed 100 feet away .,My bike has one wheel.,My bike has one *****.
User,whether,1k_most_used,,,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .","When the crowd was asked ******* it wanted to wait one more term to make the race , it voted no -- and there were no dissents .",I wonder whether it will rain.,I wonder ******* it will rain.
User,while,1k_most_used,,,"While emphasizing that technical details were not fully worked out , Pelham said his resolution would seek to set aside the privilege resolution which the House voted through 87-31 .","***** emphasizing that technical details were not fully worked out , pelham said his resolution would seek to set aside the privilege resolution which the house voted through 87-31 .",I read while she draws.,I read ***** she draws.
User,white,1k_most_used,,,-- President Kennedy today pushed aside other White House business to devote all his time and attention to working on the Berlin crisis address he will deliver tomorrow night to the American people over nationwide television and radio .,-- president kennedy today pushed aside other ***** house business to devote all his time and attention to working on the berlin crisis address he will deliver tomorrow night to the american people over nationwide television and radio .,The snow is white.,The snow is *****.
User,whole,1k_most_used,,,"The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin , an affirmation once again taken up by the council as a whole .","The secretary of state has also solemnly repeated a warning to the soviet union that the united states will not stand for another setback in berlin , an affirmation once again taken up by the council as a ***** .",I ate the whole apple.,I ate the ***** apple.
User,whose,1k_most_used,,,"The outgoing members , whose four-year terms will expire a week after the April 18 primary election , received carved wooden elephants , complete with ivory tusks , to remember the state committee by .","The outgoing members , ***** four-year terms will expire a week after the april 18 primary election , received carved wooden elephants , complete with ivory tusks , to remember the state committee by .",Whose pencil is this?,***** pencil is this?
User,why,1k_most_used,,,"While details are still to be worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected .","While details are still to be worked out , ratcliff said he expects to tell home folks in dallas *** he thinks berry's proposed constitutional amendment should be rejected .",Why is the sky blue?,*** is the sky blue?
User,wide,1k_most_used,,,Wide range in bids,**** range in bids,The river is wide.,The river is ****.
User,wife,1k_most_used,,,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday .","Mayor william b. hartsfield filed suit for divorce from his **** , pearl williams hartsfield , in fulton superior court friday .",His wife is very kind.,His **** is very kind.
User,wild,1k_most_used,,,House throws wild,House throws ****,We saw a wild rabbit.,We saw a **** rabbit.
User,win,1k_most_used,,,"In his only attack on the Republicans , Hughes said , `` The three Republican candidates for governor are tripping over their feet for popular slogans to win the primary .","In his only attack on the republicans , hughes said , `` the three republican candidates for governor are tripping over their feet for popular slogans to *** the primary .",I hope we win the game.,I hope we *** the game.
User,wind,1k_most_used,,,The Georgia Legislature will wind up its 1961 session Monday and head for home -- where some of the highway bond money it approved will follow shortly .,The georgia legislature will **** up its 1961 session monday and head for home -- where some of the highway bond money it approved will follow shortly .,The wind is blowing.,The **** is blowing.
User,window,1k_most_used,,,the officer with the yellow socks or the bay window .,The officer with the yellow socks or the bay ****** .,"Open the window, please.","Open the ******, please."
